1,1072,0.9702989999999999,-20.0,0,-20.0
2,845,0.96059601,-21.0,0,-20.5
3,839,0.9414801494009999,-20.0,0,-20.333333333333332
4,1016,0.92274469442792,-20.0,0,-20.25
5,757,0.9043820750088043,-21.0,0,-20.4
6,759,0.8953382542587163,-21.0,0,-20.5
7,879,0.8775210229989678,-21.0,0,-20.571428571428573
8,1000,0.8600583546412883,-20.0,0,-20.5
9,795,0.8514577710948754,-21.0,0,-20.555555555555557
10,761,0.8345137614500874,-21.0,0,-20.6
11,758,0.8261686238355865,-21.0,0,-20.636363636363637
144,2630,0.04953625663766238,3.0,tensor(13.1292, device='cuda:0', grad_fn=<AddBackward0>),-12.16
145,2761,0.04953625663766238,-5.0,tensor(12.9751, device='cuda:0', grad_fn=<AddBackward0>),-12.03
146,2884,0.04953625663766238,-5.0,tensor(14.1874, device='cuda:0', grad_fn=<AddBackward0>),-11.87
147,2808,0.04953625663766238,5.0,tensor(14.0597, device='cuda:0', grad_fn=<AddBackward0>),-11.64
148,2812,0.04953625663766238,4.0,tensor(14.1627, device='cuda:0', grad_fn=<AddBackward0>),-11.39
149,3043,0.04953625663766238,-6.0,tensor(14.2731, device='cuda:0', grad_fn=<AddBackward0>),-11.28
150,2876,0.04953625663766238,-4.0,tensor(14.3031, device='cuda:0', grad_fn=<AddBackward0>),-11.14
151,2515,0.04953625663766238,-6.0,tensor(12.7624, device='cuda:0', grad_fn=<AddBackward0>),-11.02
152,3156,0.04953625663766238,-2.0,tensor(15.0436, device='cuda:0', grad_fn=<AddBackward0>),-10.87
153,2290,0.04953625663766238,-8.0,tensor(12.3492, device='cuda:0', grad_fn=<AddBackward0>),-10.79
154,3382,0.04953625663766238,-8.0,tensor(16.7585, device='cuda:0', grad_fn=<AddBackward0>),-10.69
155,3106,0.04953625663766238,-8.0,tensor(16.7942, device='cuda:0', grad_fn=<AddBackward0>),-10.62
156,3052,0.04953625663766238,-5.0,tensor(16.4104, device='cuda:0', grad_fn=<AddBackward0>),-10.46
157,2443,0.04953625663766238,-8.0,tensor(14.5758, device='cuda:0', grad_fn=<AddBackward0>),-10.35
158,2679,0.04953625663766238,-5.0,tensor(14.4414, device='cuda:0', grad_fn=<AddBackward0>),-10.23
159,2420,0.04953625663766238,6.0,tensor(13.9665, device='cuda:0', grad_fn=<AddBackward0>),-10.01
160,2646,0.04953625663766238,-6.0,tensor(13.8561, device='cuda:0', grad_fn=<AddBackward0>),-9.87
