1,1014,0.9702989999999999,-20.0,0,-20.0
2,816,0.96059601,-21.0,0,-20.5
3,1048,0.9414801494009999,-21.0,0,-20.666666666666668
4,1120,0.9135172474836407,-19.0,0,-20.25
5,845,0.9043820750088043,-21.0,0,-20.4
6,836,0.8863848717161291,-20.0,0,-20.333333333333332
7,815,0.8687458127689781,-21.0,0,-20.428571428571427
8,1206,0.8514577710948754,-19.0,0,-20.25
9,816,0.8345137614500874,-21.0,0,-20.333333333333332
10,1198,0.8179069375972307,-19.0,0,-20.2
110,2911,0.04953625663766238,-3.0,tensor(18.2281, device='cuda:0', grad_fn=<AddBackward0>),-14.71
111,2448,0.04953625663766238,-9.0,tensor(16.4968, device='cuda:0', grad_fn=<AddBackward0>),-14.61
112,3142,0.04953625663766238,-4.0,tensor(18.8412, device='cuda:0', grad_fn=<AddBackward0>),-14.44
113,2045,0.04953625663766238,-15.0,tensor(14.2659, device='cuda:0', grad_fn=<AddBackward0>),-14.4
114,2626,0.04953625663766238,-6.0,tensor(17.7841, device='cuda:0', grad_fn=<AddBackward0>),-14.27
115,1736,0.04953625663766238,-15.0,tensor(12.7423, device='cuda:0', grad_fn=<AddBackward0>),-14.22
116,1722,0.04953625663766238,-15.0,tensor(12.1196, device='cuda:0', grad_fn=<AddBackward0>),-14.18
117,2774,0.04953625663766238,3.0,tensor(17.1163, device='cuda:0', grad_fn=<AddBackward0>),-13.97
118,2775,0.04953625663766238,3.0,tensor(17.9444, device='cuda:0', grad_fn=<AddBackward0>),-13.74
119,3137,0.04953625663766238,3.0,tensor(20.0473, device='cuda:0', grad_fn=<AddBackward0>),-13.5
120,3102,0.04953625663766238,-4.0,tensor(20.1357, device='cuda:0', grad_fn=<AddBackward0>),-13.36
121,2816,0.04953625663766238,-4.0,tensor(20.0511, device='cuda:0', grad_fn=<AddBackward0>),-13.22
122,3168,0.04953625663766238,-1.0,tensor(21.8219, device='cuda:0', grad_fn=<AddBackward0>),-13.03
